GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO_ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0007623	circadian rhythm	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0009409	response to cold	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0009611	response to wounding	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0009620	response to fungus	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0009695	jasmonic acid biosynthetic process	ECO:0000304	TAS	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0009723	response to ethylene	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0009751	response to salicylic acid	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	NOT|involved_in	GO:0009753	response to jasmonic acid	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A2SZW8	PER1	enables	GO:0004601	peroxidase activity	ECO:0000315	IMP	PMID:18944174		4577	AgBase	
UniProtKB	A2SZW8	PER1	involved_in	GO:0050832	defense response to fungus	ECO:0000270	IEP	PMID:18944174		4577	AgBase	
UniProtKB	A6MW92	bif2	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18466309	UniProtKB:Q5MP56	4577	IntAct	occurs_in(GO:0005634)
UniProtKB	A6YRS1	rif1	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:17940002	UniProtKB:P13526	4577	IntAct	
UniProtKB	A6YSL1	RNC1	enables	GO:0003725	double-stranded RNA binding	ECO:0000314	IDA	PMID:17693527		4577	UniProt	
UniProtKB	A6YSL1	RNC1	enables	GO:0003727	single-stranded RNA binding	ECO:0000314	IDA	PMID:17693527		4577	UniProt	
UniProtKB	A6YSL1	RNC1	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:B6TTV8	4577	UniProt	
UniProtKB	A6YSL1	RNC1	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:B6TTV8	4577	IntAct	
UniProtKB	A6YSL1	RNC1	involved_in	GO:0000373	Group II intron splicing	ECO:0000315	IMP	PMID:17693527		4577	UniProt	
UniProtKB	A6YSL1	RNC1	involved_in	GO:0042254	ribosome biogenesis	ECO:0000315	IMP	PMID:17693527		4577	UniProt	
UniProtKB	A6YSL1	RNC1	part_of	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:17693527		4577	UniProt	
UniProtKB	A7KVC2	MRP4	involved_in	GO:0055085	transmembrane transport	ECO:0000315	IMP	PMID:17676037		4577	UniProt	
UniProtKB	A7LN87	PPR5	enables	GO:0003727	single-stranded RNA binding	ECO:0000314	IDA	PMID:18669444		4577	UniProt	
UniProtKB	A7LN87	PPR5	involved_in	GO:0000373	Group II intron splicing	ECO:0000314	IDA	PMID:18591259		4577	UniProt	
UniProtKB	A7LN87	PPR5	involved_in	GO:0031425	chloroplast RNA processing	ECO:0000315	IMP	PMID:18591259		4577	UniProt	
UniProtKB	A7UDM2	CFM2	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:Q84N48	4577	IntAct	
UniProtKB	A7XN92	CFM3	involved_in	GO:0000373	Group II intron splicing	ECO:0000315	IMP	PMID:18799595		4577	UniProt	
UniProtKB	A7XN92	CFM3	part_of	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:18799595		4577	UniProt	
UniProtKB	A7XN92	CFM3	part_of	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:18799595		4577	UniProt	
UniProtKB	B1P758	FDX5	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18632977	UniProtKB:Q8JNK2	4577	AgBase	
UniProtKB	B1P758	FDX5	involved_in	GO:0015979	photosynthesis	ECO:0000304	TAS	PMID:18632977		4577	AgBase	
UniProtKB	B1P758	FDX5	part_of	GO:0009507	chloroplast	ECO:0000304	TAS	PMID:18632977		4577	AgBase	
UniProtKB	B1P759	FDX1	involved_in	GO:0015979	photosynthesis	ECO:0000304	TAS	PMID:18632977		4577	AgBase	
UniProtKB	B1P759	FDX1	part_of	GO:0009507	chloroplast	ECO:0000304	TAS	PMID:18632977		4577	AgBase	
UniProtKB	B2LXS7	WHY1	enables	GO:0003677	DNA binding	ECO:0000314	IDA	PMID:18676978		4577	UniProt	
UniProtKB	B2LXS7	WHY1	enables	GO:0003723	RNA binding	ECO:0000314	IDA	PMID:18676978		4577	UniProt	
UniProtKB	B2LXS7	WHY1	involved_in	GO:0045910	negative regulation of DNA recombination	ECO:0000315	IMP	PMID:18676978		4577	UniProt	
UniProtKB	B2LXS7	WHY1	part_of	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:18676978		4577	UniProt	
UniProtKB	B4F8I5	COAC2	enables	GO:0015228	coenzyme A transmembrane transporter activity	ECO:0000316	IGI	PMID:23590975	UniProtKB:P38702	4577	UniProt	
UniProtKB	B4F8I5	COAC2	involved_in	GO:1990559	mitochondrial coenzyme A transmembrane transport	ECO:0000316	IGI	PMID:23590975	UniProtKB:P38702	4577	UniProt	
UniProtKB	B4F8I5	COAC2	part_of	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:23590975		4577	UniProt	
UniProtKB	B4F8Z1	ATP4	enables	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:22708543		4577	UniProt	
UniProtKB	B4F8Z1	ATP4	involved_in	GO:0045727	positive regulation of translation	ECO:0000315	IMP	PMID:22708543		4577	UniProt	
UniProtKB	B4F8Z1	ATP4	involved_in	GO:0045727	positive regulation of translation	ECO:0000315	IMP	PMID:23735295		4577	UniProt	
UniProtKB	B4F8Z1	ATP4	part_of	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:22708543		4577	UniProt	
UniProtKB	B4F9A4	ZEAMMB73_Zm00001d028360	enables	GO:0033707	3''-deamino-3''-oxonicotianamine reductase activity	ECO:0000314	IDA	PMID:16926158		4577	UniProt	
UniProtKB	B4F9A4	ZEAMMB73_Zm00001d028360	involved_in	GO:0019290	siderophore biosynthetic process	ECO:0000314	IDA	PMID:16926158		4577	UniProt	
UniProtKB	B4F9A4	ZEAMMB73_Zm00001d028360	involved_in	GO:1990641	response to iron ion starvation	ECO:0000270	IEP	PMID:16926158		4577	UniProt	
UniProtKB	B4FG96	LA1	involved_in	GO:2000012	regulation of auxin polar transport	ECO:0000315	IMP	PMID:24089437		4577	UniProt	
UniProtKB	B4FG96	LA1	part_of	GO:0005634	nucleus	ECO:0000314	IDA	PMID:24089437		4577	UniProt	
UniProtKB	B4FG96	LA1	part_of	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:24089437		4577	UniProt	
UniProtKB	B4FIJ0	GRMZM2G118515	enables	GO:0090422	thiamine pyrophosphate transporter activity	ECO:0000314	IDA	PMID:22426856		4577	UniProt	
UniProtKB	B4FIJ0	GRMZM2G118515	involved_in	GO:0030974	thiamine pyrophosphate transport	ECO:0000314	IDA	PMID:22426856		4577	UniProt	
UniProtKB	B4FIJ0	GRMZM2G118515	involved_in	GO:0030974	thiamine pyrophosphate transport	ECO:0000315	IMP	PMID:22426856		4577	CACAO	
UniProtKB	B4FIJ0	GRMZM2G118515	part_of	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:22426856		4577	CACAO	
UniProtKB	B4FJG6	100216731	enables	GO:0000822	inositol hexakisphosphate binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q570C0	4577	UniProt	
UniProtKB	B4FJG6	100216731	involved_in	GO:0009734	auxin-activated signaling pathway	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q570C0	4577	UniProt	
UniProtKB	B4FRJ1	100272900	enables	GO:0016615	malate dehydrogenase activity	ECO:0000314	IDA	PMID:21889053		4577	CACAO	
UniProtKB	B4FRJ1	100272900	part_of	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:21889053		4577	CACAO	
UniProtKB	B4FRJ1	100272900	part_of	GO:0009505	plant-type cell wall	ECO:0000314	IDA	PMID:21889053		4577	CACAO	
UniProtKB	B4FSG1	PSA3	involved_in	GO:0048564	photosystem I assembly	ECO:0000315	IMP	PMID:28522455		4577	UniProt	
UniProtKB	B4FSG1	PSA3	part_of	GO:0098572	stromal side of plastid thylakoid membrane	ECO:0000314	IDA	PMID:28522455		4577	UniProt	
UniProtKB	B4FT40	SMH2	enables	GO:0003691	double-stranded telomeric DNA binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6WS85	4577	UniProt	
UniProtKB	B4FT40	SMH2	enables	GO:0042803	protein homodimerization activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	B4FT40	SMH2	enables	GO:0043047	single-stranded telomeric DNA binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6WS85	4577	UniProt	
UniProtKB	B4FT40	SMH2	part_of	GO:0000785	chromatin	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	B4FT40	SMH2	part_of	GO:0005634	nucleus	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	B4FT40	SMH2	part_of	GO:0005730	nucleolus	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	B4FTR7	TAB2	involved_in	GO:0009658	chloroplast organization	ECO:0000315	IMP	PMID:25725436		4577	UniProt	
UniProtKB	B4FTR7	TAB2	involved_in	GO:0048564	photosystem I assembly	ECO:0000315	IMP	PMID:25725436		4577	UniProt	
UniProtKB	B4FX20	100286384	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:19450586	UniProtKB:B4FX20	4577	IntAct	
UniProtKB	B4FYV0	100281739	enables	GO:0000822	inositol hexakisphosphate binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q570C0	4577	UniProt	
UniProtKB	B4FYV0	100281739	involved_in	GO:0009734	auxin-activated signaling pathway	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q570C0	4577	UniProt	
UniProtKB	B4FZ81	PTAC12	enables	GO:0003697	single-stranded DNA binding	ECO:0000314	IDA	PMID:25599833		4577	UniProt	
UniProtKB	B4FZ81	PTAC12	enables	GO:0003727	single-stranded RNA binding	ECO:0000314	IDA	PMID:25599833		4577	UniProt	
UniProtKB	B4FZ81	PTAC12	involved_in	GO:0010468	regulation of gene expression	ECO:0000315	IMP	PMID:24246379		4577	UniProt	
UniProtKB	B4G072	BX9	enables	GO:0047254	2							
UniProtKB	B4G1E1	B4G1E1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P08023	4577	AgBase	has_regulation_target(UniProtKB:E1C3A6)
UniProtKB	B4G1E1	B4G1E1	involved_in	GO:0090131	mesenchyme migration	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P08023	4577	AgBase	
UniProtKB	B4G1E1	B4G1E1	part_of	GO:0005737	cytoplasm	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P08023	4577	AgBase	part_of(CL:0000134)
UniProtKB	B4G1E1	B4G1E1	part_of	GO:0030027	lamellipodium	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P08023	4577	AgBase	part_of(CL:0000134)
UniProtKB	B4G1E1	B4G1E1	part_of	GO:0030175	filopodium	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P08023	4577	AgBase	part_of(CL:0000134)
UniProtKB	B4G1E1	B4G1E1	part_of	GO:0044297	cell body	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P08023	4577	AgBase	part_of(CL:0000134)
UniProtKB	B6TGM8	100283283	enables	GO:0004672	protein kinase activity	ECO:0000315	IMP	PMID:23469147		4577	CACAO	
UniProtKB	B6TGM8	100283283	involved_in	GO:2000070	regulation of response to water deprivation	ECO:0000315	IMP	PMID:23469147		4577	CACAO	
UniProtKB	B6TGN4	MTERF4	involved_in	GO:0008380	RNA splicing	ECO:0000315	IMP	PMID:24500208		4577	UniProt	
UniProtKB	B6TGN4	MTERF4	involved_in	GO:0042254	ribosome biogenesis	ECO:0000315	IMP	PMID:24500208		4577	UniProt	
UniProtKB	B6TGN4	MTERF4	part_of	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:24500208		4577	UniProt	
UniProtKB	B6TTV8	WTF1	enables	GO:0003723	RNA binding	ECO:0000314	IDA	PMID:19251672		4577	UniProt	
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:A6YSL1	4577	UniProt	
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:A6YSL1	4577	IntAct	
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:Q84N48	4577	IntAct	
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:Q84N49	4577	IntAct	
UniProtKB	B6TTV8	WTF1	involved_in	GO:0008380	RNA splicing	ECO:0000315	IMP	PMID:19251672		4577	UniProt	
UniProtKB	B6TTV8	WTF1	part_of	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:19251672		4577	UniProt	
UniProtKB	B6TYV8	CNR2	involved_in	GO:0008285	negative regulation of cell proliferation	ECO:0000315	IMP	PMID:20400678		4577	UniProt	
UniProtKB	B6TZ45	CNR1	involved_in	GO:0008285	negative regulation of cell proliferation	ECO:0000315	IMP	PMID:20400678		4577	UniProt	
UniProtKB	B6UFC7	PRIN2	involved_in	GO:0010468	regulation of gene expression	ECO:0000315	IMP	PMID:24246379		4577	UniProt	
UniProtKB	B6UFC7	PRIN2	part_of	GO:0042644	chloroplast nucleoid	ECO:0000314	IDA	PMID:22065420		4577	UniProt	
UniProtKB	B6UHV2	B6UHV2	enables	GO:0000822	inositol hexakisphosphate binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q570C0	4577	UniProt	
UniProtKB	B6UHV2	B6UHV2	involved_in	GO:0009734	auxin-activated signaling pathway	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q570C0	4577	UniProt	
UniProtKB	B8Y6I0	ppr10	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:24162847	UniProtKB:B8Y6I0	4577	IntAct	
UniProtKB	C0HFE5	ORRM1	involved_in	GO:0016554	cytidine to uridine editing	ECO:0000315	IMP	PMID:23487777		4577	UniProt	
UniProtKB	C0HFE5	ORRM1	involved_in	GO:1900871	chloroplast mRNA modification	ECO:0000315	IMP	PMID:23487777		4577	UniProt	
UniProtKB	C0HIA3	SMH6	enables	GO:0003691	double-stranded telomeric DNA binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6WS85	4577	UniProt	
UniProtKB	C0HIA3	SMH6	enables	GO:0042803	protein homodimerization activity	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	C0HIA3	SMH6	enables	GO:0043047	single-stranded telomeric DNA binding	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q6WS85	4577	UniProt	
UniProtKB	C0HIA3	SMH6	part_of	GO:0000785	chromatin	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	C0HIA3	SMH6	part_of	GO:0005634	nucleus	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	C0HIA3	SMH6	part_of	GO:0005730	nucleolus	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8VWK4	4577	UniProt	
UniProtKB	C0PEY7	PYG7	involved_in	GO:0048564	photosystem I assembly	ECO:0000315	IMP	PMID:28522455		4577	UniProt	
UniProtKB	C0PEY7	PYG7	part_of	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:28522455		4577	UniProt	
UniProtKB	D4HR93	PR10.1	enables	GO:0004540	ribonuclease activity	ECO:0000314	IDA	PMID:19682768		4577	AgBase	
UniProtKB	D4HR93	PR10.1	involved_in	GO:0009611	response to wounding	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	D4HR93	PR10.1	involved_in	GO:0009617	response to bacterium	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	D4HR93	PR10.1	involved_in	GO:0009620	response to fungus	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
